Date of Race,Time,Horse,Industry SP,Predicted_Win_Probability,Expected_Value,Kelly_Fraction,Top_3_Pick_Rank,Recommended_Stake
2025-07-12,17:40:00,Silent Flame,5.0,0.2705044028142948,0.3525220140714739,0.08813050351786847,1,88.13050351786848
2025-07-12,18:15:00,Shahik,7.0,0.3558931059134047,1.4912517413938327,0.2485419568989721,1,248.5419568989721
2025-07-12,19:20:00,North Star,4.33,0.26820029086138186,0.16130725942978352,0.04844061844738244,2,48.44061844738244
2025-07-12,19:50:00,Crystal Mariner,7.0,0.3893478649359753,1.725435054551827,0.2875725090919712,1,287.5725090919712
