Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Odds_To_Use,Predicted_Rank,Expected_Value,Kelly_Fraction,Field_Size,Reject_Reason,Winrate_Threshold,Bet_Recommended,Recommended_Stake,Stake_Unscaled,Top_3_Pick_Rank
2025-07-12,17:40:00,SALISBURY,The Cola Kid,6f, ,4.33,,0.20517719755158487,2025-07-12_17:40:00,4.33,2.0,-0.11158273460163759,-0.03350832870920048,2,ev_low|kelly_low|,0,False,0.0,-33.50832870920048,2
2025-07-12,18:15:00,SALISBURY,A Bit Of Spirit,7f, ,1.36,,0.29982839738271816,2025-07-12_18:15:00,1.36,2.0,-0.5922333795595033,-1.6450927209986197,2,ev_low|kelly_low|,0,False,0.0,-1645.0927209986196,2
2025-07-12,18:45:00,SALISBURY,Palio Di Siena,7f, ,2.75,,0.30786335667280545,2025-07-12_18:45:00,2.75,1.0,-0.1533757691497849,-0.08764329665701995,2,ev_low|kelly_low|,0,False,0.0,-87.64329665701995,1
2025-07-12,18:45:00,SALISBURY,Silent Storm,7f, ,3.13,,0.2752617480436815,2025-07-12_18:45:00,3.13,2.0,-0.1384307286232771,-0.06499095240529441,2,ev_low|kelly_low|,0,False,0.0,-64.99095240529441,2
2025-07-12,19:20:00,SALISBURY,Soul Dance,1m2f, ,2.38,,0.3501527412730739,2025-07-12_19:20:00,2.38,1.0,-0.16663647577008422,-0.12075106939861177,2,ev_low|kelly_low|,0,False,0.0,-120.75106939861178,1
2025-07-12,19:50:00,SALISBURY,Loving Look,1m4f, ,2.0,,0.3835338221751368,2025-07-12_19:50:00,2.0,2.0,-0.23293235564972642,-0.23293235564972642,2,ev_low|kelly_low|,0,False,0.0,-232.93235564972642,2
2025-07-12,20:20:00,SALISBURY,Grand Harbour,1m4f, ,2.75,,0.3360612173923387,2025-07-12_20:20:00,2.75,1.0,-0.07583165217106858,-0.043332372669182044,2,ev_low|kelly_low|,0,False,0.0,-43.33237266918204,1
2025-07-12,20:20:00,SALISBURY,Emily Rebecca,1m4f, ,3.0,,0.30630939777961597,2025-07-12_20:20:00,3.0,2.0,-0.0810718066611521,-0.04053590333057605,2,ev_low|kelly_low|,0,False,0.0,-40.53590333057605,2
